time,temperature
352,41.48267365
353,41.4081955
354,41.37095261
355,41.27784729
356,41.25923157
357,41.22198868
358,41.20336914
359,41.18474579
360,41.16612625
361,41.07302475
362,40.92406082
363,40.97991943
364,40.94268036
365,40.88681793
366,40.70061493
367,40.71923447
368,40.68199539
369,40.53303146
370,40.49578857
371,40.49578857
372,40.40268707
373,40.43992615
374,40.4585495
375,40.365448
376,40.23510361
377,40.17924118
378,40.10475922
379,40.08613968
380,39.91855621
381,39.86269379
382,39.73235321
383,39.75096893
384,39.62062836
385,39.52752686
386,39.5089035
387,39.37856293
388,39.415802
389,39.229599
390,39.043396
391,38.98753357
392,38.85718918
393,38.70822525
394,38.57788086
395,38.54064178
396,38.50340271
397,38.46615982
398,38.26133347
399,38.22409058
400,38.03788757
401,37.85168457
402,37.81444168
403,37.79582214
404,37.59099579
405,37.49789429
406,37.46065521
407,37.31169128
408,37.36755371
409,37.21858978
410,37.25582886
411,36.957901
412,37.01376343
413,36.93928146
414,36.69721222
415,36.73445511
416,36.65997314
417,36.54824829
418,36.47377014
419,36.39928436
420,36.28756714
421,36.23170471
422,36.08274078
423,36.1385994
424,36.08274078
425,35.95239639
426,35.822052
427,35.80343246
428,35.71033096
429,35.56136703
430,35.48688507
431,35.57998657
432,35.50550461
433,35.41240311
434,35.41240311
435,35.41240311
436,35.26343918
437,35.17033768
438,35.15171814
439,35.15171814
440,35.05861282
441,35.02137375
442,34.92826843
443,34.87240982
444,34.83516693
445,34.66758347
446,34.72344589
447,34.51861954
448,34.5931015
449,34.53723907
450,34.46276093
451,34.23931122
452,34.25793457
453,34.22069168
454,34.10897064
455,34.05310822
456,33.96000671
457,33.97862625
458,33.94138336
459,33.86690521
460,33.82966232
461,33.71794128
462,33.64345932
463,33.68069839
464,33.550354
465,33.43863297
466,33.49449539
467,33.40139008
468,33.38277054
469,33.23380661
470,33.25242615
471,33.177948
472,33.12208557
473,33.02898407
474,32.93588257
475,32.91725922
476,32.76829529
477,32.82415771
478,32.74967575
479,32.67519379
480,32.65657425
481,32.50761032
482,32.45174789
483,32.35864639
484,32.35864639
485,32.19106293
486,32.228302
487,32.11658096
488,31.98623657
489,31.93037415
490,31.89313507
491,31.87451363
492,31.68830872
493,31.66968918
494,31.66968918
495,31.44624329
496,31.42762375
497,31.4090023
498,31.37176132
499,31.27865982
500,31.18555641
501,31.16693497
502,31.092453
503,30.9993515
504,31.01797104
505,30.86900711
506,30.86900711
507,30.79452705
508,30.68280411
509,30.58970261
510,30.55245972
511,30.45935822
512,30.27315331
513,30.36625671
514,30.32901382
515,30.14281082
516,30.21729279
517,30.04970932
518,30.01246643
519,29.88212395
520,29.84488297
521,29.69591904
522,29.73316002
523,29.64005661
524,29.56557465
525,29.49109268
526,29.37937164
527,29.23040771
528,29.17454529
529,29.10006332
530,29.13730621
531,29.00696182
532,28.98834229
533,28.82075691
534,28.78351593
535,28.70903397
536,28.59731293
537,28.50420952
538,28.50420952
539,28.42972755
540,28.37386703
541,28.28076363
542,28.11317825
543,28.07593918
544,28.00145721
545,27.88973427
546,27.90835381
547,27.77801132
548,27.7221489
549,27.74077034
550,27.59180641
551,27.59180641
552,27.4056015
553,27.29387856
554,27.23801804
555,27.21939659
556,27.03319168
557,27.07043266
558,26.9959507
559,26.80974579
560,26.75388527
561,26.73526382
562,26.62354279
563,26.43733788
564,26.45595741
565,26.45595741
566,26.25113297
567,26.21389198
568,26.23251152
569,26.0835495
570,25.97182465
571,25.93458557
572,25.93458557
573,25.7670002
574,25.61803627
575,25.48769379
576,25.43183136
577,25.32011032
578,25.32011032
579,25.22700691
580,25.07804298
581,24.98494148
582,24.85459709
583,24.81735611
584,24.72425461
585,24.59391022
586,24.61253166
587,24.40770721
588,24.42632675
589,24.29598427
590,24.27736282
591,24.07253838
592,24.07253838
593,23.94219399
594,23.904953
595,23.68150902
596,23.62564659
597,23.56978607
598,23.32771873
599,23.34634018
600,23.36495972
601,23.10427475
602,23.08565331
603,23.06703186
604,22.93668938
605,22.76910591
606,22.69462395
607,22.582901
608,22.63876152
609,22.34083557
610,22.45255661
611,22.24773216
612,22.06152725
613,22.06152725
614,21.81946182
615,21.78222084
616,21.7635994
617,21.59601593
618,21.54015541
619,21.40981102
620,21.39119148
621,21.40981102
622,21.29808807
623,21.18636513
624,21.14912415
625,21.05602264
626,20.98154068
627,20.8511982
628,20.8511982
629,20.83257675
630,20.6277523
631,20.60913086
632,20.51602936
633,20.40430641
634,20.36706543
635,20.34844399
636,20.125
637,20.03189659
638,19.97603607
639,19.99465561
640,19.84569168
641,19.78983116
642,19.7153492
643,19.67810822
644,19.56638527
645,19.45466232
646,19.3988018
647,19.26845741
648,19.17535591
649,19.15673447
650,19.10087395
651,18.95191002
652,19.00777054
653,18.91466904
654,18.82156563
655,18.74708557
656,18.54225922
657,18.46777725
658,18.4863987
659,18.35605431
660,18.28157234
661,18.20709038
662,18.20709038
663,18.02088547
664,17.92778397
665,17.90916443
666,17.77882004
667,17.74157906
668,17.70433807
669,17.51813316
670,17.40641022
671,17.46227264
672,17.29468918
673,17.23882675
674,17.25744629
675,17.16434479
676,17.01538086
677,16.9408989
678,16.90365791
679,16.79193497
680,16.64297104
681,16.54986954
682,16.58711052
683,16.43814659
684,16.36366463
685,16.25194168
686,16.10297775
687,16.02849579
688,15.82367134
689,15.95401478
690,15.73056889
691,15.6933279
692,15.60022545
693,15.45126152
694,15.35816002
695,15.37677956
696,15.33953857
697,15.20919609
698,15.07885265
699,15.02299118
700,14.91126823
701,14.89264774
702,14.79954529
703,14.70644379
704,14.63196182
705,14.65058136
706,14.44575691
707,14.37127495
708,14.31541348
709,14.259552
710,14.14782906
711,14.14782906
712,14.07334709
713,13.90576363
714,13.99886513
715,13.81266022
716,13.83128166
717,13.64507675
718,13.64507675
719,13.47749233
720,13.36577034
721,13.30990791
722,13.30990791
723,13.25404739
724,13.23542595
725,13.10508347
726,12.99336052
727,12.97474003
728,12.86301708
729,12.78853512
730,12.73267365
731,12.5278492
732,12.5278492
733,12.47198677
734,12.39750481
735,12.36026382
736,12.26716232
737,12.17405987
738,12.06233692
739,12.06233692
740,12.04371643
741,11.80165005
742,11.78302956
743,11.80165005
744,11.72716904
745,11.65268707
746,11.48510265
747,11.54096413
748,11.46648216
749,11.41062069
750,11.35475922
751,11.29889774
752,11.24303627
753,11.11269283
754,11.07545185
755,11.07545185
756,10.96372986
757,10.88924789
758,10.79614544
759,10.72166348
760,10.72166348
761,10.55407906
762,10.57269955
763,10.4609766
764,10.51683807
765,10.42373562
766,10.44235611
767,10.27477264
768,10.29339218
769,10.20029068
770,10.1630497
771,10.01408577
772,10.06994724
773,9.958224297
774,9.902362823
775,9.827880859
776,9.827880859
777,9.753398895
778,9.734778404
779,9.716157913
780,9.511333466
781,9.529953957
782,9.41823101
783,9.380990028
784,9.306508064
785,9.269267082
786,9.194785118
787,9.194785118
788,9.157544136
789,8.971339226
790,8.989959717
791,8.971339226
792,8.934098244
793,8.80375576
794,8.822375298
795,8.785135269
796,8.747894287
797,8.61755085
798,8.61755085
799,8.524448395
800,8.561689377
801,8.468586922
802,8.375484467
803,8.338243485
804,8.338243485
805,8.207900047
806,8.282382011
807,8.207900047
808,8.114797592
809,8.096177101
810,8.040316582
811,7.984455109
812,7.947214127
813,7.947214127
814,7.872732162
815,7.798250198
816,7.630665779
817,7.723768234
818,7.686527252
819,7.593424797
820,7.630665779
821,7.46308136
822,7.500322342
823,7.46308136
824,7.444460869
825,7.314118385
826,7.332738876
827,7.332738876
828,7.258256912
829,7.146533966
830,7.202395439
831,6.997570038
832,7.090672493
833,6.978949547
834,6.978949547
835,6.923088074
836,6.960329056
837,6.923088074
838,6.867226601
839,6.792744637
840,6.84860611
841,6.699642181
842,6.699642181
843,6.774124146
844,6.625160217
845,6.662401199
846,6.494817734
847,6.494817734
848,6.401715279
849,6.532058716
850,6.401715279
851,6.401715279
852,6.271371841
853,6.289992332
854,6.178269386
855,6.141028404
856,6.196889877
857,6.159648895
858,6.029305458
859,5.973443985
860,5.917582512
861,5.917582512
862,5.917582512
863,5.805860519
864,5.843101501
865,5.749999046
866,5.768619537
867,5.82448101
868,5.768619537
869,5.82448101
870,5.545173645
871,5.675517082
872,5.582414627
873,5.619655609
874,5.601035118
875,5.545173645
876,5.489312172
877,5.526553154
878,5.433450699
879,5.526553154
880,5.358968735
881,5.507932663
882,5.396209717
883,5.433450699
884,5.377589226
885,5.396209717
886,5.433450699
887,5.358968735
888,5.45207119
889,5.26586628
890,5.228625298
891,5.303107262
892,5.303107262
893,5.228625298
894,5.247245789
895,5.321727753
896,5.321727753
897,5.26586628
898,5.303107262
899,5.303107262
900,5.26586628
901,5.321727753
902,5.247245789
903,5.396209717
904,5.26586628
905,5.247245789
906,5.414830208
907,5.284486771
908,5.284486771
909,5.377589226
910,5.377589226
911,5.377589226
912,5.396209717
913,5.358968735
914,5.340348244
915,5.396209717
916,5.303107262
917,5.45207119
918,5.433450699
919,5.582414627
920,5.470691681
921,5.489312172
922,5.526553154
923,5.563794136
924,5.489312172
925,5.545173645
926,5.563794136
927,5.656896591
928,5.712758064
929,5.6382761
930,5.694137573
931,5.749999046
932,5.601035118
933,5.712758064
934,5.749999046
935,5.749999046
936,5.749999046
937,5.731378555
938,5.82448101
939,5.898962021
940,5.954823494
941,5.992064476
942,6.047925949
943,6.029305458
944,6.010684967
945,6.010684967
946,5.992064476
947,6.047925949
948,5.973443985
949,6.047925949
950,6.06654644
951,6.122407913
952,6.06654644
953,6.234130859
954,6.122407913
955,6.196889877
956,6.234130859
957,6.215510368
958,6.42033577
959,6.345853806
960,6.271371841
961,6.327233315
962,6.401715279
963,6.383094788
964,6.438956261
965,6.476197243
966,6.476197243
967,6.550679207
968,6.476197243
969,6.550679207
970,6.494817734
971,6.587920189
972,6.550679207
973,6.569299698
974,6.68102169
975,6.718262672
