time,pressure
355,627.7416992
356,626.107666
357,624.4968262
358,622.6804199
359,620.0449219
360,617.7880859
361,615.2463379
362,613.5400391
363,611.7824707
364,609.7973633
365,607.3435059
366,605.4609375
367,603.5063477
368,601.3310547
369,598.7165527
370,596.326416
371,594.1950684
372,591.4033203
373,589.1811523
374,586.371582
375,583.0546875
376,580.7336426
377,578.986084
378,577.1286621
379,574.0617676
380,570.6318359
381,567.3173828
382,564.2695313
383,560.5839844
384,557.2426758
385,554.1760254
386,550.7788086
387,547.0085449
388,543.1738281
389,539.6447754
390,536.3969727
391,533.4260254
392,531.1625977
393,528.5822754
394,526.4887695
395,522.9575195
396,520.1616211
397,517.6013184
398,514.467041
399,512.270752
400,509.6540527
401,507.548584
402,505.4819336
403,503.7561035
404,502.0588379
405,500.0258789
406,498.3552246
407,496.4846191
408,494.4650879
409,492.6159668
410,490.9606934
411,489.2600098
412,487.4975586
413,485.8195801
414,484.1672363
415,482.6291504
416,481.0263672
417,479.4174805
418,477.5717773
419,475.9682617
420,474.4501953
421,473.0791016
422,471.6931152
423,470.3029785
424,468.8359375
425,467.670166
426,466.519043
427,465.199707
428,464.0151367
429,462.8713379
430,461.5327148
431,460.3005371
432,459.1567383
433,457.939209
434,456.8579102
435,455.4750977
436,454.3461914
437,453.1376953
438,451.7387695
439,450.2233887
440,448.5576172
441,446.8945313
442,445.3681641
443,444.109375
444,442.8447266
445,441.6181641
446,440.3293457
447,439.1269531
448,437.8227539
449,436.4562988
450,435.142334
451,433.6662598
452,432.3981934
453,431.0661621
454,429.8522949
455,428.6936035
456,427.4230957
457,426.2463379
458,425.0039063
459,423.7819824
460,422.4445801
461,421.2202148
462,419.8974609
463,418.6877441
464,417.2885742
465,416.1311035
466,414.9001465
467,413.7458496
468,412.3725586
469,411.2241211
470,410.0991211
471,408.7285156
472,407.510498
473,406.2924805
474,405.0231934
475,403.6777344
476,402.4887695
477,401.3598633
478,400.1115723
479,398.9248047
480,397.5541992
481,396.3479004
482,395.1062012
483,393.9187012
484,392.7412109
485,391.4858398
486,390.2133789
487,389.0595703
488,387.7978516
489,386.5949707
490,385.3383789
491,384.2182617
492,383.1206055
493,381.8503418
494,380.7775879
495,379.6018066
496,378.4255371
497,377.201416
498,375.9694824
499,374.6894531
500,373.5615234
501,372.331543
502,371.2226563
503,370.1271973
504,368.8444824
505,367.6948242
506,366.5654297
507,365.3469238
508,364.1352539
509,362.9575195
510,361.7675781
511,360.7145996
512,359.4890137
513,358.3237305
514,357.1848145
515,355.8669434
516,354.5668945
517,352.5302734
518,351.2207031
519,349.6330566
520,348.3620605
521,346.9587402
522,345.6491699
523,343.9465332
524,342.6677246
525,341.1484375
526,339.8959961
527,338.8703613
528,337.8105469
529,336.6938477
530,335.6166992
531,334.5090332
532,333.3908691
533,332.3491211
534,330.9279785
535,329.8244629
536,328.7956543
537,327.744873
538,326.7990723
539,325.8168945
540,324.8017578
