time,humidity
1,58.55786896
2,57.24993134
3,56.79413605
4,56.49687576
5,55.7173996
6,55.60840607
7,55.23518372
8,54.89168167
9,54.80911255
10,54.62745285
11,54.30046844
12,54.42928314
13,53.51108551
14,53.5375061
15,53.52099228
16,53.01235199
17,53.52429581
18,53.21712875
19,52.87363052
20,53.0684967
21,52.47728729
22,52.59288788
23,53.028862
24,52.322052
25,52.12718201
26,52.00167084
27,51.64826584
28,51.8001976
29,51.79689407
30,51.20898438
31,50.63428497
32,50.76309967
33,50.43941498
34,50.24124146
35,50.14546204
36,49.81847382
37,49.72930145
38,49.27350616
39,49.08854294
40,48.92670441
41,48.56008148
42,48.58320618
43,48.35530853
44,47.73436737
45,47.98208237
46,47.36774826
47,47.42389679
48,48.47420883
49,49.25698853
50,50.95136261
51,52.77454376
52,54.22450256
53,55.87263489
54,58.31015015
55,59.27128601
56,59.766716
57,61.42475891
58,61.16713333
59,61.37851715
60,61.58659744
61,61.29264069
62,60.89960098
63,61.39503098
64,61.86073303
65,61.3058548
66,61.52053833
67,61.27612686
68,61.12749863
69,60.56931305
70,60.31499481
71,60.86326599
72,60.39096069
73,60.5362854
74,60.43719864
75,59.43312836
76,59.60817719
77,59.72047424
78,59.50909424
79,58.66025543
80,59.14907837
81,59.04338837
82,58.96411896
83,58.61401367
84,58.75603867
85,58.17803955
86,58.07234573
87,57.96334839
88,57.99637985
89,57.95674515
90,57.41177368
91,57.75196838
92,56.88331223
93,56.62568665
94,56.54972076
95,56.09392548
96,56.06420136
97,55.57207489
98,55.73061371
99,55.34748077
100,55.36399078
101,55.37059784
102,55.13939667
103,54.92471313
104,54.54488373
105,54.42597961
106,54.0725708
107,53.72907257
108,54.2013855
109,53.92724609
110,53.69604492
111,53.02225876
112,53.17419052
113,53.34924316
114,52.86372375
115,52.61270142
116,52.17672729
117,52.70188141
118,52.03139877
119,52.09745789
120,51.20898438
121,51.4467926
122,51.18916702
123,51.08016968
124,50.88860321
125,51.41376495
126,50.38326645
127,50.90181732
128,50.23794174
129,50.03316498
130,50.13224792
131,49.79866028
132,49.68305969
133,49.43864441
134,49.38580322
135,49.54764175
136,49.16781235
137,48.89697647
138,48.75164795
139,48.62614059
140,48.56008148
141,48.05474472
142,45.77246094
143,47.77069855
144,47.52628326
145,47.57582855
146,47.27196503
147,47.33141708
148,47.38095856
149,47.24884415
150,46.98461533
151,47.21251297
152,46.9813118
153,47.45362091
154,46.90864944
155,46.8756218
156,47.0341568
157,46.87892151
158,47.40738297
159,46.72038651
160,46.94168091
161,46.3405571
162,46.22165298
163,46.04660034
164,46.35707092
165,46.1192627
166,46.02678299
167,45.61722565
168,45.42896271
169,45.81539917
170,45.65356064
171,44.5140686
172,44.71884918
173,44.93353271
174,44.81793213
175,44.41168213
176,44.39186478
177,44.52728271
178,44.31919861
179,43.85019302
180,44.1738739
181,43.87661743
182,43.64541626
183,43.50669479
184,42.9584198
185,42.91217804
186,43.09383774
187,43.07402039
188,43.05750275
189,42.78667068
190,42.60501099
191,42.34408569
192,41.66369629
193,42.82630539
194,42.83290863
195,42.50592804
196,42.68758392
197,42.30775452
198,42.34408569
199,42.34408569
200,42.26151276
201,42.2549057
202,42.08976364
203,42.12279511
204,42.41674805
205,42.3837204
206,42.06994629
207,41.74626541
208,41.55139923
209,41.34661865
210,40.94366837
211,40.55062866
212,40.32603455
213,40.19391632
214,38.68450928
215,39.91978073
216,39.78436279
217,39.54655457
218,39.37150574
219,38.4268837
220,39.12709045
221,38.49294281
222,38.6085434
223,38.46982193
224,38.41036987
225,37.77952194
226,38.18247223
227,37.8521843
228,37.37657166
229,37.07931137
230,36.29323196
231,36.43855667
232,35.03813934
233,34.47665405
234,33.6344223
235,33.15220261
236,31.65930557
237,29.95502663
238,28.66030121
239,27.46466255
240,26.63564301
241,25.24183273
242,24.35336113
243,25.31119156
244,24.0891304
245,22.74486351
246,21.36756897
247,20.51873016
248,21.06370354
249,19.88127708
250,19.3098793
251,19.28015518
252,20.1190834
253,20.43946075
254,20.18514061
255,18.62618637
256,18.12415123
257,17.4668808
258,18.31241417
259,17.31494904
260,18.23975182
261,18.53701019
262,17.04411316
263,16.5916214
264,16.87896919
265,16.05985832
266,16.56850052
267,15.92444038
268,16.97805595
269,16.04334259
270,16.76667213
271,15.57433605
272,15.62057686
273,15.48515892
274,15.33983326
275,15.13835812
276,16.74685478
277,16.31748199
278,15.37286186
279,15.5280962
280,14.08804512
281,14.93027687
282,14.33906364
283,14.87743092
284,14.96991158
285,14.81467628
286,14.37869835
287,14.50090408
288,14.26309776
289,14.01868629
290,14.50751019
291,15.45873642
292,16.65107155
293,14.48439026
294,14.46787548
295,14.14749718
296,14.62311077
297,14.04841042
298,13.35811234
299,13.23260307
300,14.32254982
301,13.39774704
302,14.45466423
303,13.16984749
304,13.09718513
305,12.95846558
306,13.10048866
307,13.16984749
308,12.63808632
309,12.54890823
310,12.12944412
311,11.93457603
312,12.47294235
313,12.26486206
314,13.15333366
315,12.3738575
316,12.45642853
317,12.66450882
318,12.07990074
319,12.7404747
320,12.64469147
321,12.18229103
322,12.30449677
323,12.38706779
324,12.00393486
325,11.92136383
326,11.83218575
